FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,CANCELLED,DISTANCE
2000-01-01,US,2621,BOS,"Boston, MA",ATL,"Atlanta, GA",1440,1446,1713,4,1738,1717,0,946
2000-01-01,DL,346,BTR,"Baton Rouge, LA",ATL,"Atlanta, GA",1740,1744,1957,9,2008,2006,0,449
2000-01-01,DL,412,BTR,"Baton Rouge, LA",ATL,"Atlanta, GA",1345,1345,1552,9,1622,1601,0,449
2000-01-01,DL,299,BUF,"Buffalo, NY",ATL,"Atlanta, GA",1245,1245,1443,5,1455,1448,0,712
2000-01-01,DL,495,BUF,"Buffalo, NY",ATL,"Atlanta, GA",2035,2035,2226,9,2241,2235,0,712
2000-01-01,DL,677,BUF,"Buffalo, NY",ATL,"Atlanta, GA",710,710,940,7,925,947,0,712
2000-01-01,DL,251,BWI,"Baltimore, MD",ATL,"Atlanta, GA",2040,2100,2235,7,2233,2242,0,576
2000-01-01,DL,1003,BWI,"Baltimore, MD",ATL,"Atlanta, GA",1635,1838,2020,12,1832,2032,0,576
2000-01-01,NW,499,DTW,"Detroit, MI",ATL,"Atlanta, GA",1915,1916,2048,6,2115,2054,0,594
2000-01-01,NW,801,DTW,"Detroit, MI",ATL,"Atlanta, GA",1335,1339,1515,5,1545,1520,0,594
2000-01-01,DL,214,EGE,"Eagle, CO",ATL,"Atlanta, GA",1300,1305,1807,22,1802,1829,0,1312
2000-01-01,DL,1724,ELP,"El Paso, TX",ATL,"Atlanta, GA",1125,1123,1608,16,1629,1624,0,1282
2000-01-01,WN,467,MCI,"Kansas City, MO",BNA,"Nashville, TN",1405,1420,1530,4,1525,1534,0,491
2000-01-01,DL,2405,MCO,"Orlando, FL",BNA,"Nashville, TN",1935,1931,2014,5,2030,2019,0,616
2000-01-01,DL,2418,MCO,"Orlando, FL",BNA,"Nashville, TN",835,831,920,5,935,925,0,616
2000-01-01,DL,2540,MCO,"Orlando, FL",BNA,"Nashville, TN",1645,1645,1727,7,1745,1734,0,616
2000-01-01,WN,723,MCO,"Orlando, FL",BNA,"Nashville, TN",1355,1355,1444,5,1445,1449,0,616
2000-01-01,WN,1409,MCO,"Orlando, FL",BNA,"Nashville, TN",1545,1553,1644,3,1635,1647,0,616
2000-01-01,WN,360,MDW,"Chicago, IL",BNA,"Nashville, TN",1215,1220,1327,3,1330,1330,0,395
2000-01-01,UA,435,DEN,"Denver, CO",BOI,"Boise, ID",1750,1751,1958,5,1940,2003,0,649
2000-01-01,UA,1561,DEN,"Denver, CO",BOI,"Boise, ID",1145,1144,1334,3,1342,1337,0,649
2000-01-01,WN,863,GEG,"Spokane, WA",BOI,"Boise, ID",1110,1110,1304,1,1305,1305,0,287
2000-01-01,WN,580,LAS,"Las Vegas, NV",BOI,"Boise, ID",925,925,1149,3,1205,1152,0,520
2000-01-01,WN,1012,LAS,"Las Vegas, NV",BOI,"Boise, ID",1710,1724,1950,4,1945,1954,0,520
2000-01-01,NW,1271,MSP,"Minneapolis, MN",BOI,"Boise, ID",1110,,,,1318,,1,1142
2000-01-01,NW,1273,MSP,"Minneapolis, MN",BOI,"Boise, ID",2035,2049,2246,8,2248,2254,0,1142
2000-01-01,US,1924,ALB,"Albany, NY",DCA,"Washington, DC",625,619,,,741,,0,318
2000-01-01,DL,254,ATL,"Atlanta, GA",DCA,"Washington, DC",2130,2124,2252,6,2308,2258,0,547
2000-01-01,DL,578,ATL,"Atlanta, GA",DCA,"Washington, DC",1825,1826,1953,4,2009,1957,0,547
2000-01-01,DL,646,ATL,"Atlanta, GA",DCA,"Washington, DC",1425,1430,1558,7,1604,1605,0,547
2000-01-01,NW,1155,DTW,"Detroit, MI",FWA,"Fort Wayne, IN",1205,1204,1239,3,1300,1242,0,128
2000-01-01,WN,369,BOI,"Boise, ID",GEG,"Spokane, WA",1555,1555,1547,3,1555,1550,0,287
2000-01-01,WN,1149,BOI,"Boise, ID",GEG,"Spokane, WA",1050,1050,1043,1,1050,1044,0,287
2000-01-01,UA,1035,DEN,"Denver, CO",GEG,"Spokane, WA",1140,1137,1241,4,1301,1245,0,835
2000-01-01,UA,1727,DEN,"Denver, CO",GEG,"Spokane, WA",1750,1747,1910,4,1904,1914,0,835
2000-01-01,WN,762,LAS,"Las Vegas, NV",GEG,"Spokane, WA",1120,1120,1333,2,1335,1335,0,806
2000-01-01,NW,249,MSP,"Minneapolis, MN",GEG,"Spokane, WA",2045,,,,2156,,1,1175
2000-01-01,NW,571,MSP,"Minneapolis, MN",GEG,"Spokane, WA",1100,1059,1157,7,1218,1204,0,1175
2000-01-01,NW,621,MSP,"Minneapolis, MN",GEG,"Spokane, WA",1705,1701,1800,7,1819,1807,0,1175
2000-01-01,WN,819,OAK,"Oakland, CA",GEG,"Spokane, WA",1135,1135,1319,3,1330,1322,0,723
2000-01-01,NW,1859,DTW,"Detroit, MI",GRR,"Grand Rapids, MI",1910,1905,1945,4,2006,1949,0,120
2000-01-01,NW,830,MEM,"Memphis, TN",GRR,"Grand Rapids, MI",2020,2009,2230,4,2311,2234,0,591
2000-01-01,NW,1618,MEM,"Memphis, TN",GRR,"Grand Rapids, MI",1400,1356,1633,3,1705,1636,0,591
2000-01-01,NW,1262,MSP,"Minneapolis, MN",GRR,"Grand Rapids, MI",1500,1454,1658,4,1720,1702,0,408
2000-01-01,NW,1272,MSP,"Minneapolis, MN",GRR,"Grand Rapids, MI",1900,,,,2125,,1,408
2000-01-01,NW,1284,MSP,"Minneapolis, MN",GRR,"Grand Rapids, MI",710,705,908,6,930,914,0,408
2000-01-01,UA,422,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",1914,1910,2046,4,2101,2050,0,137
2000-01-01,CO,1860,IAH,"Houston, TX",GSO,"Greensboro/High Point, NC",1325,1322,1651,3,1654,1654,0,986
2000-01-01,UA,750,ORD,"Chicago, IL",GSO,"Greensboro/High Point, NC",1755,1753,2035,4,2031,2039,0,590
2000-01-01,UA,1538,ORD,"Chicago, IL",GSO,"Greensboro/High Point, NC",1340,1337,1608,4,1619,1612,0,590
